customerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
4472-LVYGI,1,0,0,0,1,No phone service,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),1,1
3115-CZMZD,0,0,0,0,0,No,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,1,1
5709-LVOEQ,1,0,0,0,0,No,Yes,Yes,No,Yes,Two year,1,Mailed check,1,1
4367-NUYAO,0,0,0,0,0,Yes,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,1,1
1371-DWPAZ,1,0,0,0,1,No phone service,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),1,1
7644-OMVMY,0,0,0,0,0,No,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,1,1
3213-VVOLG,0,0,0,0,0,Yes,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,1,1
2520-SGTTA,1,0,0,0,0,No,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,1,1
2923-ARZLG,0,0,0,0,0,No,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,1,1
4075-WKNIU,1,0,0,0,0,Yes,Yes,Yes,Yes,No,Two year,1,Mailed check,1,1
2775-SEFEE,0,0,0,0,0,Yes,Yes,No,Yes,No,Two year,0,Bank transfer (automatic),1,1
2967-MXRAV,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,18.8,1
8992-CEUEN,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,18.85,1
9318-NKNFC,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,18.85,0
9975-SKRNR,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,18.9,1
1423-BMPBQ,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19,1
1015-OWJKI,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.05,1
6569-KTMDU,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.1,1
6121-VZNQB,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.1,0
9441-QHEVC,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.1,1
7302-ZHMHP,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.15,1
1663-MHLHE,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.2,1
3308-MHOOC,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.2,1
4232-JGKIY,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.2,1
3373-YZZYM,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.2,1
1098-TDVUQ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.25,1
5510-BOIUJ,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.25,0
9374-YOLBJ,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.25,1
0761-AETCS,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.3,0
7926-IJOOU,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.3,1
4667-OHGKG,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.3,0
1724-IQWNM,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.3,1
5766-ZJYBB,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.4,0
9629-NHXFW,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,1
7298-IZWLY,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,1
2220-IAHLS,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.4,1
3679-XASPY,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.45,1
7617-EYGLW,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.45,1
1725-MIMXW,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.45,0
9174-FKWZE,1,1,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,0
8393-JMVMB,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.45,1
4760-XOHVN,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.45,0
7551-JOHTI,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.5,0
5906-BFOZT,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,1
8566-YPRGL,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,1
1905-OEILC,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.5,1
2866-IKBTM,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,1
1029-QFBEN,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,0
8605-ITULD,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,1
2576-HXMPA,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.55,1
1622-HSHSF,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,1
0927-CNGRH,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,1
7601-WFVZV,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,1
7989-CHGTL,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,0
4588-YBNIB,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,0
8329-IBCTI,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,0
5562-BETPV,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.65,1
1194-SPVSP,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.65,1
7291-CDTMJ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.65,1
7721-DVEKZ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,1
6141-OOXUQ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,0
3785-NRHYR,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,1
0970-QXPXW,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.65,1
0247-SLUJI,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.7,1
6615-ZGEDR,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.7,0
3930-ZGWVE,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.75,1
3717-OFRTN,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.75,1
6849-WLEYG,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.75,0
7239-HZZCX,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.75,0
2465-BLLEU,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,1
6124-ACRHJ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.75,1
7853-WNZSY,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.75,1
1156-ZFYDO,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.75,1
9103-CXVOK,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.75,1
8562-GHPPI,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.8,1
4892-VLANZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.8,0
1135-LMECX,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.85,1
0107-WESLM,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.85,0
4291-HPAXL,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.85,1
1064-FBXNK,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),19.85,1
4800-VHZKI,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,0
2654-VBVPB,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.9,1
3900-AQPHZ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,0
6654-QGBZZ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,1
5515-IDEJJ,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,0
2320-JRSDE,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.9,0
7878-RTCZG,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,1
2369-FEVNO,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,1
2542-HYGIQ,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.95,1
3506-LCJDC,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,0
5143-WMWOG,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.95,0
6286-SUUWT,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.95,1
3807-XHCJH,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20,1
7698-YFGEZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20,1
4877-EVATK,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20,0
3030-ZKIWL,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,1
4661-NJEUX,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,1
2812-SFXMJ,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,1
1349-WXNGG,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.05,0
7096-UCLNH,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,1
5028-HTLJB,0,1,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,0
8749-CLJXC,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,1
9962-BFPDU,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,1
3148-BLQJT,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.1,0
1240-KNSEZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.1,0
1000-AJSLD,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.1,0
1066-JKSGK,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.15,0
1934-SJVJK,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.15,0
4897-QSUYC,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,0
8974-OVACP,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.15,1
4781-ZXYGU,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.15,1
7853-GVUDZ,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.15,0
7310-EGVHZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.2,1
6380-ARCEH,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,1
6469-MRVET,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.2,1
3247-MHJKM,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,1
8305-VHZBZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,0
5356-RHIPP,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,0
2955-PSXOE,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,0
8048-DSDFQ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,1
1493-AMTIE,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,0
4786-UKSNZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,0
7839-QRKXN,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,0
8203-XJZRC,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.25,1
0670-KDOMA,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,1
2876-VBBBL,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,0
5868-YTYKS,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,1
4211-MMAZN,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.25,0
2081-KJSQF,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,1
9122-UMROB,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.3,1
7814-LEEVE,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.3,1
3090-QFUVD,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.3,1
8073-IJDCM,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.3,0
2676-ISHSF,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.3,1
2592-YKDIF,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.35,1
4634-JLRJT,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,1
1099-GODLO,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.35,1
3590-TCXTB,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.35,1
6579-JPICP,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.4,1
2239-CFOUJ,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.4,1
3727-JEZTU,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.4,1
1963-VAUKV,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.4,0
8262-COGGB,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,1
0673-IGUQO,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.45,1
5996-DAOQL,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,1
8559-WNQZS,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.45,1
2668-TZSPS,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.45,1
2002-MZHWP,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,0
9753-OYLBX,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,1
4255-DDUOU,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.5,0
4745-LSPLO,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,0
7893-IXHRQ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.55,0
9708-KFDBY,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.55,1
3803-KMQFW,1,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.55,0
3976-NLDEZ,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.6,1
5049-GLYVG,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.6,0
2480-JZOSN,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,1
5088-QZLRL,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.65,1
8620-RJPZN,1,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.7,1
3645-DEYGF,0,0,0,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.75,1
2700-LUEVA,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.75,1
4013-GUXND,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.8,1
6982-UQZLY,1,1,1,1,0,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,0
